frame,acc_x,acc_y,acc_z,timestamp
1,0.8813672,4.3062453,8.823253,20231017_132311_839
2,0.9915381,4.095484,8.669971,20231017_132311_839
3,1.0202783,4.119434,8.703502,20231017_132311_839
4,0.97237796,4.133804,8.669971,20231017_132311_842
5,0.97237796,4.071533,8.780142,20231017_132311_844
6,0.9532178,4.157754,8.804092,20231017_132311_847
7,0.92926764,4.129014,8.880733,20231017_132311_850
8,0.9532178,4.2200246,8.928633,20231017_132311_852
9,0.9580079,4.3014555,8.962164,20231017_132311_855
10,1.0011182,4.4834766,8.919053,20231017_132311_857
11,1.0633887,4.5649076,9.043594,20231017_132311_859
12,0.9484278,4.550537,8.966953,20231017_132311_862
13,0.91010743,4.5649076,9.034014,20231017_132311_864
14,0.9867481,4.397256,8.923843,20231017_132311_867
15,0.97237796,4.397256,9.038804,20231017_132311_870
16,1.0154883,4.406836,8.971744,20231017_132311_873
17,0.9867481,4.382886,8.962164,20231017_132311_875
18,0.9867481,4.258345,8.986114,20231017_132311_877
19,1.0250684,4.287085,8.914263,20231017_132311_880
20,0.9915381,4.1721244,8.938213,20231017_132311_883
21,1.0298585,4.1242237,8.847202,20231017_132311_885
22,1.0394385,4.023633,8.813672,20231017_132311_887
23,0.9915381,4.033213,8.856783,20231017_132311_889
24,1.0298585,4.0044727,8.871153,20231017_132311_892
25,0.97237796,3.9326222,8.737032,20231017_132311_895
26,1.0394385,3.9948928,8.660391,20231017_132311_897
27,1.0059083,3.9517825,8.689131,20231017_132311_900
28,1.0825489,4.014053,8.612491,20231017_132311_904
29,1.101709,3.9901028,8.689131,20231017_132311_905
30,1.0011182,3.999683,8.765772,20231017_132311_907
31,0.9915381,3.9948928,8.756192,20231017_132311_910
32,0.9627979,3.9901028,8.760982,20231017_132311_912
33,1.0059083,4.0763235,8.713081,20231017_132311_915
34,1.0202783,4.071533,8.703502,20231017_132311_918
35,0.98195803,4.143384,8.751402,20231017_132311_921
36,0.9963282,4.2008643,8.665181,20231017_132311_923
37,0.9436377,4.1002736,8.717872,20231017_132311_925
38,0.9532178,4.152964,8.732242,20231017_132311_928
39,0.9244776,4.129014,8.713081,20231017_132311_930
40,0.9484278,4.167334,8.698711,20231017_132311_933
41,0.89573735,4.2200246,8.789722,20231017_132311_936
42,0.89573735,4.1625443,8.751402,20231017_132311_938
